hidden_layers,activation_function,epochs,learning_rate,batch_size,train_accuracy,test_accuracy
[32],relu,50,0.1,16,0.9225,0.93
[32],relu,50,0.1,32,0.95375,0.95
[32],relu,50,0.1,64,0.965,0.92
[32],relu,50,0.1,128,0.98375,0.96
[32],relu,50,0.1,256,0.965,0.945
[32],relu,50,0.1,512,0.9925,0.97
[32],relu,50,0.01,16,0.9875,0.955
[32],relu,50,0.01,32,0.98125,0.965
[32],relu,50,0.01,64,0.9725,0.945
[32],relu,50,0.01,128,0.97375,0.94
[32],relu,50,0.01,256,0.96,0.94
[32],relu,50,0.01,512,0.95125,0.95
[32],relu,50,0.001,16,0.94875,0.95
[32],relu,50,0.001,32,0.94,0.94
[32],relu,50,0.001,64,0.93,0.945
[32],relu,50,0.001,128,0.91125,0.92
[32],relu,50,0.001,256,0.88625,0.885
[32],relu,50,0.001,512,0.86375,0.88
[32],relu,50,0.0001,16,0.885,0.895
[32],relu,50,0.0001,32,0.87625,0.895
[32],relu,50,0.0001,64,0.82,0.83
[32],relu,50,0.0001,128,0.72,0.71
[32],relu,50,0.0001,256,0.64875,0.615
[32],relu,50,0.0001,512,0.65375,0.62
[32],relu,100,10.0,16,0.60875,0.605
[32],relu,100,10.0,32,0.73375,0.725
[32],relu,100,10.0,64,0.6275,0.65
[32],relu,100,10.0,128,0.7975,0.8
[32],relu,100,10.0,256,0.745,0.735
[32],relu,100,10.0,512,0.915,0.88
[32],relu,100,1.0,16,0.50625,0.57
[32],relu,100,1.0,32,0.58875,0.63
[32],relu,100,1.0,64,0.6875,0.715
[32],relu,100,1.0,128,0.83625,0.8
[32],relu,100,1.0,256,0.8375,0.825
[32],relu,100,1.0,512,0.9775,0.91
[32],relu,100,0.1,16,0.95375,0.95
[32],relu,100,0.1,32,0.95125,0.925
[32],relu,100,0.1,64,0.98375,0.955
[32],relu,100,0.1,128,0.9975,0.945
[32],relu,100,0.1,256,0.98875,0.96
[32],relu,100,0.1,512,1.0,0.915
[32],relu,100,0.01,16,1.0,0.945
[32],relu,100,0.01,32,0.995,0.935
[32],relu,100,0.01,64,0.99,0.96
[32],relu,100,0.01,128,0.98,0.955
[32],relu,100,0.01,256,0.97875,0.96
[32],relu,100,0.01,512,0.97,0.955
[32],relu,100,0.001,16,0.9675,0.97
[32],relu,100,0.001,32,0.96125,0.965
[32],relu,100,0.001,64,0.94875,0.945
[32],relu,100,0.001,128,0.93625,0.94
[32],relu,100,0.001,256,0.90875,0.925
[32],relu,100,0.001,512,0.8975,0.91
[32],relu,100,0.0001,16,0.905,0.91
[32],relu,100,0.0001,32,0.89625,0.9
[32],relu,100,0.0001,64,0.87125,0.885
[32],relu,100,0.0001,128,0.83375,0.82
[32],relu,100,0.0001,256,0.77125,0.77
[32],relu,100,0.0001,512,0.67,0.64
[32],relu,250,10.0,16,0.615,0.66
[32],relu,250,10.0,32,0.6675,0.68
[32],relu,250,10.0,64,0.73375,0.73
[32],relu,250,10.0,128,0.77625,0.77
[32],relu,250,10.0,256,0.79875,0.755
[32],relu,250,10.0,512,0.8975,0.915
[32],relu,250,1.0,16,0.52375,0.45
[32],relu,250,1.0,32,0.52125,0.445
[32],relu,250,1.0,64,0.53125,0.61
[32],relu,250,1.0,128,0.77875,0.77
[32],relu,250,1.0,256,0.79375,0.77
[32],relu,250,1.0,512,0.97,0.935
[32],relu,250,0.1,16,0.9075,0.89
[32],relu,250,0.1,32,0.95875,0.94
[32],relu,250,0.1,64,0.99625,0.935
[32],relu,250,0.1,128,1.0,0.925
[32],relu,250,0.1,256,0.99875,0.92
[32],relu,250,0.1,512,1.0,0.93
[32],relu,250,0.01,16,1.0,0.945
[32],relu,250,0.01,32,1.0,0.945
[32],relu,250,0.01,64,1.0,0.935
[32],relu,250,0.01,128,1.0,0.945
[32],relu,250,0.01,256,0.995,0.945
[32],relu,250,0.01,512,0.985,0.955
[32],relu,250,0.001,16,0.985,0.965
[32],relu,250,0.001,32,0.9775,0.965
[32],relu,250,0.001,64,0.96875,0.955
[32],relu,250,0.001,128,0.9625,0.95
[32],relu,250,0.001,256,0.945,0.95
[32],relu,250,0.001,512,0.9325,0.935
[32],relu,250,0.0001,16,0.93125,0.95
[32],relu,250,0.0001,32,0.92,0.935
[32],relu,250,0.0001,64,0.89125,0.9
[32],relu,250,0.0001,128,0.87875,0.89
[32],relu,250,0.0001,256,0.86875,0.865
[32],relu,250,0.0001,512,0.78625,0.795
[32],sigmoid,1,10.0,16,0.71625,0.72
[32],sigmoid,1,10.0,32,0.7625,0.77
[32],sigmoid,1,10.0,64,0.76375,0.74
[32],sigmoid,1,10.0,128,0.61375,0.68
[32],sigmoid,1,10.0,256,0.51875,0.44
[32],sigmoid,1,10.0,512,0.5375,0.605
